,가게이름,평점,주소,리뷰수,카테고리,rv
85,광명집,4.2,대연3동 704-2,810,한식, 
86,합천일류돼지국밥,4.1,광장로 34,"4,066",돼지국밥 전문점, 
87,다리집 본점,3.5,남천바다로10번길 70 101호,"1,576",한식, 
88,맛소문오리불고기,4.2,좌동로 109-17,513,오리요리전문점, 
89,해운대 가야밀면,4.0,좌동순환로 27,"1,983",냉면 전문점, 
90,주차장산곰장어,4.0,부전1동 346-65,270,곰장어 전문점, 
91,하루 부산시청점,4.0,양정동 254-4,62,일식, 
92,해운대초량밀면,3.8,구남로 20,643,냉면 전문점, 
93,해정맛집,리뷰 없음,대연5동 1379-1, ,음식점, 
94,봉평면옥(메밀소바),4.2,거제천로 53-1,153,소바 전문점, 
95,이색식당,4.2,삼락동 삼락천로 335,98,음식점, 
96,해운대신대구탕,3.8,연산5동 1127-5,130,한식, 
97,소문난막창,4.5,해운대로781번길 31,130,막창 전문점, 
98,부산횟집,3.5,달맞이길62번길 28,407,회 전문점, 
99,해운대 기와집 대구탕,4.1,달맞이길104번길 46,"2,703",한식, 
100,동화반점,4.2,보수동2가 73-8,460,중식, 
101,로얄경양식,4.1,거제동 488-3,267,미국 서부 요리, 
102,도화,4.1,연산동 590-55번지 연제구 부산광역시 KR,51,음식점, 
103,개성상인,4.1,장전동 420-28번지 1층 금정구 부산광역시 KR,98,음식점, 
104,고향카츠,4.3,수영로510번길 43 106호 107호,168,돈까스 전문식당, 
105,맛집25,리뷰 없음,연산동 1811-5번지 2층 201호, ,음식점, 
106,진맛집,리뷰 없음,거제동 589-3번지 연제구 부산광역시 KR, ,음식점, 
107,부산맛집 생선구이 장어탕,4.3,연산9동 과정로132번길 10,4,한식, 
108,합천국밥집,4.3,용호로 235,831,한식, 
109,톤쇼우,4.6,광안해변로279번길 13,558,돈까스 전문식당, 
110,바담맛집 코다리네,4.1,초읍동 296-46,44,한식, 
111,구연정,4.3,거제3동 488-18,52,한식, 
112,최가네엄마낙지,4.4,양정동 257-14,117,음식점, 
113,울산(식육)식당,4.0,전포동 동천로 140-1,237,한국식 소고기 전문 음식점, 
114,이재모 피자,4.4,광복중앙로 31,"2,897",피자, 
115,또바기식당,3.8,연산동 1498-45번지 1층 연제구 부산광역시 KR,11,음식점, 
116,평안도족발,4.1,달맞이길 14,193,족발/보쌈집, 
117,향토집굴국밥,3.6,연산5동 1369-9,191,한식, 
118,문화양곱창,4.2,가야대로784번길 56-8,446,곱창전문점, 
119,남천 모소리 ??,4.2,수영로388번길 25-4,262,한국식 BBQ, 
